order_in,Order ID,Order Date,Ship Date,Customer ID,Product ID,Sales,Quantity,Discount,Profit,CoGS,ship_mode_id
20,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,TEC-PH-10001949,213.48,3,0.2,16.011,197.469,1
21,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.384,15.335999999999999,1
22,CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AR-10000246,19.46,7,0.0,5.0596,14.400400000000001,2
23,CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AP-10001492,60.34,7,0.0,15.6884,44.6516,2
24,US-2017-156909,2017-07-16,2017-07-18,SF-20065,FUR-CH-10002774,71.372,2,0.3,-1.0196,72.3916,1
25,CA-2015-106320,2015-09-25,2015-09-30,EB-13870,FUR-TA-10000577,1044.63,3,0.0,240.2649,804.3651000000001,2
26,CA-2016-121755,2016-01-16,2016-01-20,EH-13945,OFF-BI-10001634,11.648,2,0.2,4.2224,7.425599999999999,1
27,CA-2016-121755,2016-01-16,2016-01-20,EH-13945,TEC-AC-10003027,90.57,3,0.0,11.7741,78.79589999999999,1
28,US-2015-150630,2015-09-17,2015-09-21,TB-21520,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,4748.4822,2
29,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-BI-10000474,9.618,2,0.7,-7.0532,16.6712,2
30,US-2015-150630,2015-09-17,2015-09-21,TB-21520,FUR-FU-10004848,124.2,3,0.2,15.525,108.675,2
31,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-EN-10001509,3.264,2,0.2,1.1016,2.1624,2
32,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-AR-10004042,86.304,6,0.2,9.7092,76.5948,2
33,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-BI-10001525,6.858,6,0.7,-5.715,12.573,2
34,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-AR-10001683,15.76,2,0.2,3.546,12.214,2
35,CA-2017-107727,2017-10-19,2017-10-23,MA-17560,OFF-PA-10000249,29.472,3,0.2,9.9468,19.5252,1
36,CA-2016-117590,2016-12-08,2016-12-10,GH-14485,TEC-PH-10004977,1097.544,7,0.2,123.4737,974.0703000000001,3
37,CA-2016-117590,2016-12-08,2016-12-10,GH-14485,FUR-FU-10003664,190.92,5,0.6,-147.963,338.883,3
38,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,OFF-EN-10002986,113.328,9,0.2,35.415,77.91300000000001,2
39,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,FUR-BO-10002545,532.3992,3,0.32,-46.9764,579.3756,2
40,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,FUR-CH-10004218,212.058,3,0.3,-15.147,227.20499999999998,2
41,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,TEC-PH-10000486,371.168,4,0.2,41.7564,329.4116,2
42,CA-2017-120999,2017-09-10,2017-09-15,LC-16930,TEC-PH-10004093,147.168,4,0.2,16.5564,130.6116,2
43,CA-2016-101343,2016-07-17,2016-07-22,RA-19885,OFF-ST-10003479,77.88,2,0.0,3.894,73.98599999999999,2
44,CA-2017-139619,2017-09-19,2017-09-23,ES-14080,OFF-ST-10003282,95.616,2,0.2,9.5616,86.0544,2
45,CA-2016-118255,2016-03-11,2016-03-13,ON-18715,TEC-AC-10000171,45.98,2,0.0,19.7714,26.208599999999997,3
46,CA-2016-118255,2016-03-11,2016-03-13,ON-18715,OFF-BI-10003291,17.46,2,0.0,8.2062,9.2538,3
47,CA-2014-146703,2014-10-20,2014-10-25,PO-18865,OFF-ST-10001713,211.96,4,0.0,8.4784,203.48160000000001,1
48,CA-2016-169194,2016-06-20,2016-06-25,LH-16900,TEC-AC-10002167,45.0,3,0.0,4.95,40.05,2
49,CA-2016-169194,2016-06-20,2016-06-25,LH-16900,TEC-PH-10003988,21.8,2,0.0,6.104,15.696000000000002,2
50,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,OFF-BI-10004410,38.22,6,0.0,17.9634,20.2566,2
51,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,OFF-LA-10002762,75.18,6,0.0,35.3346,39.845400000000005,2
52,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,FUR-FU-10001706,6.16,2,0.0,2.9568,3.2032000000000003,2
53,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,FUR-CH-10003061,89.99,1,0.0,17.0981,72.89189999999999,2
54,CA-2016-105816,2016-12-11,2016-12-17,JM-15265,OFF-FA-10000304,15.26,7,0.0,6.2566,9.0034,2
55,CA-2016-105816,2016-12-11,2016-12-17,JM-15265,TEC-PH-10002447,1029.95,5,0.0,298.6855,731.2645,2
56,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-ST-10000604,208.56,6,0.0,52.14,156.42000000000002,3
57,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-PA-10001569,32.4,5,0.0,15.552,16.848,3
58,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,FUR-CH-10003968,319.41,5,0.1,7.098,312.312,3
59,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-PA-10000587,14.56,2,0.0,6.9888,7.5712,3
60,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,TEC-AC-10002167,30.0,2,0.0,3.3,26.7,3
61,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-BI-10001460,48.48,4,0.2,16.362,32.117999999999995,3
62,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-AR-10001868,1.68,1,0.0,0.84,0.84,3
63,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,TEC-AC-10004633,13.98,2,0.0,6.1512,7.8288,2
64,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,OFF-BI-10001078,25.824,6,0.2,9.3612,16.4628,2
65,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,OFF-PA-10003892,146.73,3,0.0,68.9631,77.76689999999999,2
66,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,FUR-FU-10000397,79.76,4,0.0,22.3328,57.427200000000006,2
67,US-2015-164175,2015-04-30,2015-05-05,PS-18970,FUR-CH-10001146,213.115,5,0.3,-15.2225,228.3375,2
68,CA-2014-106376,2014-12-05,2014-12-10,BS-11590,OFF-AR-10002671,1113.024,8,0.2,111.3024,1001.7215999999999,2
69,CA-2014-106376,2014-12-05,2014-12-10,BS-11590,TEC-PH-10002726,167.968,4,0.2,62.988,104.97999999999999,2
70,CA-2016-119823,2016-06-04,2016-06-06,KD-16270,OFF-PA-10000482,75.88,2,0.0,35.6636,40.21639999999999,3
71,CA-2016-106075,2016-09-18,2016-09-23,HM-14980,OFF-BI-10004654,4.616,1,0.2,1.731,2.885,2
72,CA-2017-114440,2017-09-14,2017-09-17,TB-21520,OFF-PA-10004675,19.05,3,0.0,8.763,10.287,1
73,US-2015-134026,2015-04-26,2015-05-02,JE-15745,FUR-CH-10000513,831.936,8,0.2,-114.3912,946.3272000000001,2
74,US-2015-134026,2015-04-26,2015-05-02,JE-15745,FUR-FU-10003708,97.04,2,0.2,1.213,95.82700000000001,2
75,US-2015-134026,2015-04-26,2015-05-02,JE-15745,OFF-ST-10004123,72.784,1,0.2,-18.196,90.98,2
76,US-2017-118038,2017-12-09,2017-12-11,KB-16600,OFF-BI-10004182,1.248,3,0.8,-1.9344,3.1824,3
77,US-2017-118038,2017-12-09,2017-12-11,KB-16600,FUR-FU-10000260,9.708,3,0.6,-5.8248,15.5328,3
78,US-2017-118038,2017-12-09,2017-12-11,KB-16600,OFF-ST-10000615,27.24,3,0.2,2.724,24.516,3
79,US-2014-147606,2014-11-26,2014-12-01,JE-15745,FUR-FU-10003194,19.3,5,0.6,-14.475,33.775,1
80,CA-2016-127208,2016-06-12,2016-06-15,SC-20770,OFF-AP-10002118,208.16,1,0.0,56.2032,151.9568,3
81,CA-2016-127208,2016-06-12,2016-06-15,SC-20770,OFF-BI-10002309,16.74,3,0.0,8.0352,8.704799999999999,3
82,CA-2014-139451,2014-10-12,2014-10-16,DN-13690,OFF-AR-10002053,14.9,5,0.0,4.172,10.728000000000002,2
83,CA-2014-139451,2014-10-12,2014-10-16,DN-13690,OFF-ST-10002370,21.39,1,0.0,6.2031,15.186900000000001,2
84,CA-2015-149734,2015-09-03,2015-09-08,JC-16105,OFF-EN-10000927,200.984,7,0.2,62.8075,138.1765,2
85,US-2017-119662,2017-11-13,2017-11-16,CS-12400,OFF-ST-10003656,230.376,3,0.2,-48.9549,279.3309,3
86,CA-2017-140088,2017-05-28,2017-05-30,PO-18865,FUR-CH-10000863,301.96,2,0.0,33.2156,268.7444,1
87,CA-2017-155558,2017-10-26,2017-11-02,PG-18895,TEC-AC-10001998,19.99,1,0.0,6.7966,13.193399999999999,2
88,CA-2017-155558,2017-10-26,2017-11-02,PG-18895,OFF-LA-10000134,6.16,2,0.0,2.9568,3.2032000000000003,2
89,CA-2016-159695,2016-04-05,2016-04-10,GM-14455,OFF-ST-10003442,158.368,7,0.2,13.8572,144.5108,1
90,CA-2016-109806,2016-09-17,2016-09-22,JS-15685,OFF-AR-10004930,20.1,3,0.0,6.633,13.467000000000002,2
91,CA-2016-109806,2016-09-17,2016-09-22,JS-15685,TEC-PH-10004093,73.584,2,0.2,8.2782,65.3058,2
92,CA-2016-109806,2016-09-17,2016-09-22,JS-15685,OFF-PA-10000304,6.48,1,0.0,3.1104,3.3696000000000006,2
93,CA-2015-149587,2015-01-31,2015-02-05,KB-16315,OFF-PA-10003177,12.96,2,0.0,6.2208,6.739200000000001,1
94,CA-2015-149587,2015-01-31,2015-02-05,KB-16315,FUR-FU-10003799,53.34,3,0.0,16.5354,36.80460000000001,1
95,CA-2015-149587,2015-01-31,2015-02-05,KB-16315,OFF-BI-10002852,32.96,2,0.0,16.1504,16.8096,1
96,US-2017-109484,2017-11-06,2017-11-12,RB-19705,OFF-BI-10004738,5.682,1,0.7,-3.788,9.47,2
97,CA-2017-161018,2017-11-09,2017-11-11,PN-18775,FUR-FU-10000629,96.53,7,0.0,40.5426,55.9874,1
98,CA-2017-157833,2017-06-17,2017-06-20,KD-16345,OFF-BI-10001721,51.312,3,0.2,17.9592,33.3528,3
99,CA-2016-149223,2016-09-06,2016-09-11,ER-13855,OFF-AP-10000358,77.88,6,0.0,22.5852,55.294799999999995,2
100,CA-2016-158568,2016-08-29,2016-09-02,RB-19465,OFF-PA-10003256,64.624,7,0.2,22.6184,42.005599999999994,2
101,CA-2016-158568,2016-08-29,2016-09-02,RB-19465,TEC-AC-10001767,95.976,3,0.2,-10.7973,106.7733,2
102,CA-2016-158568,2016-08-29,2016-09-02,RB-19465,OFF-BI-10002609,1.788,3,0.8,-3.0396,4.8276,2
103,CA-2016-129903,2016-12-01,2016-12-04,GZ-14470,OFF-PA-10004040,23.92,4,0.0,11.7208,12.199200000000001,1
104,US-2015-156867,2015-11-13,2015-11-17,LC-16870,TEC-AC-10001552,238.896,6,0.2,-26.8758,265.7718,2
105,US-2015-156867,2015-11-13,2015-11-17,LC-16870,FUR-FU-10004006,102.36,3,0.2,-3.8385,106.1985,2
106,US-2015-156867,2015-11-13,2015-11-17,LC-16870,OFF-BI-10002794,36.882,3,0.7,-25.8174,62.6994,2
107,CA-2017-119004,2017-11-23,2017-11-28,JM-15250,TEC-AC-10003499,74.112,8,0.2,17.6016,56.51039999999999,2
108,CA-2017-119004,2017-11-23,2017-11-28,JM-15250,TEC-PH-10002844,27.992,1,0.2,2.0994,25.8926,2
109,CA-2017-119004,2017-11-23,2017-11-28,JM-15250,OFF-AR-10000390,3.304,1,0.2,1.0738,2.2302,2
110,CA-2015-129476,2015-10-15,2015-10-20,PA-19060,TEC-AC-10000844,339.96,5,0.2,67.992,271.96799999999996,2
111,CA-2017-146780,2017-12-25,2017-12-30,CV-12805,FUR-FU-10001934,41.96,2,0.0,10.9096,31.050400000000003,2
112,CA-2016-128867,2016-11-03,2016-11-10,CL-12565,OFF-AR-10000380,75.96,2,0.0,22.788,53.172,2
113,CA-2016-128867,2016-11-03,2016-11-10,CL-12565,OFF-BI-10003981,27.24,6,0.0,13.3476,13.892399999999999,2
114,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-FA-10000621,40.096,14,0.2,14.5348,25.561199999999996,1
115,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-EN-10002600,4.72,2,0.2,1.652,3.0679999999999996,1
116,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-PA-10004965,23.976,3,0.2,7.4925,16.4835,1
117,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-EN-10002504,130.464,6,0.2,44.0316,86.4324,1
118,CA-2015-110457,2015-03-02,2015-03-06,DK-13090,FUR-TA-10001768,787.53,3,0.0,165.3813,622.1487,2
119,US-2015-136476,2015-04-05,2015-04-10,GG-14650,OFF-BI-10003650,157.794,1,0.7,-115.7156,273.5096,2
120,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,FUR-FU-10002157,47.04,3,0.0,18.3456,28.694399999999998,3
121,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,OFF-BI-10003910,30.84,4,0.0,13.878,16.962,3
122,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,OFF-ST-10000777,226.56,6,0.0,63.4368,163.1232,3
123,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,OFF-EN-10002500,115.02,9,0.0,51.759,63.260999999999996,3
124,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,TEC-PH-10003875,68.04,7,0.0,19.7316,48.308400000000006,3
125,US-2014-152030,2014-12-26,2014-12-28,AD-10180,FUR-CH-10004063,600.558,3,0.3,-8.5794,609.1374,1
126,US-2014-134614,2014-09-20,2014-09-25,PF-19165,FUR-TA-10004534,617.7,6,0.5,-407.682,1025.382,2
127,US-2017-107272,2017-11-05,2017-11-12,TS-21610,OFF-BI-10003274,2.388,2,0.7,-1.8308,4.2188,2
128,US-2017-107272,2017-11-05,2017-11-12,TS-21610,OFF-ST-10002974,243.992,7,0.2,30.499,213.493,2
129,US-2016-125969,2016-11-06,2016-11-10,LS-16975,FUR-CH-10001146,81.424,2,0.2,-9.1602,90.58420000000001,1
130,US-2016-125969,2016-11-06,2016-11-10,LS-16975,FUR-FU-10003773,238.56,3,0.0,26.2416,212.3184,1
131,US-2017-164147,2017-02-02,2017-02-05,DW-13585,TEC-PH-10002293,59.97,5,0.4,-11.994,71.964,3
132,US-2017-164147,2017-02-02,2017-02-05,DW-13585,OFF-PA-10002377,78.304,2,0.2,29.364,48.94,3
133,US-2017-164147,2017-02-02,2017-02-05,DW-13585,OFF-FA-10002780,21.456,9,0.2,6.9732,14.4828,3
134,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-PA-10001804,20.04,3,0.0,9.6192,10.4208,2
135,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-PA-10001736,35.44,1,0.0,16.6568,18.783199999999997,2
136,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-AR-10001149,11.52,4,0.0,3.456,8.064,2
137,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-FA-10002988,4.02,2,0.0,1.9698,2.0501999999999994,2
138,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-BI-10004781,76.176,3,0.2,26.6616,49.5144,2
139,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-SU-10001218,65.88,6,0.0,18.4464,47.4336,2
140,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,FUR-FU-10001706,43.12,14,0.0,20.6976,22.422399999999996,2
141,CA-2016-110366,2016-09-05,2016-09-07,JD-15895,FUR-FU-10004848,82.8,2,0.2,10.35,72.45,1
142,CA-2017-106180,2017-09-18,2017-09-23,SH-19975,OFF-AR-10000940,8.82,3,0.0,2.3814,6.4386,2
143,CA-2017-106180,2017-09-18,2017-09-23,SH-19975,OFF-EN-10004030,10.86,3,0.0,5.1042,5.7558,2
144,CA-2017-106180,2017-09-18,2017-09-23,SH-19975,OFF-PA-10004327,143.7,3,0.0,68.976,74.72399999999999,2
145,CA-2017-155376,2017-12-22,2017-12-27,SG-20080,OFF-AP-10001058,839.43,3,0.0,218.2518,621.1782,2
146,CA-2015-110744,2015-09-07,2015-09-12,HA-14920,OFF-ST-10003656,671.93,7,0.0,20.1579,651.7720999999999,2
147,CA-2014-110072,2014-10-22,2014-10-28,MG-17680,FUR-FU-10000521,93.888,4,0.2,12.9096,80.97840000000001,2
148,CA-2016-114489,2016-12-05,2016-12-09,JE-16165,TEC-PH-10000215,384.45,11,0.0,103.8015,280.6485,2
149,CA-2016-114489,2016-12-05,2016-12-09,JE-16165,TEC-PH-10001448,149.97,3,0.0,5.9988,143.9712,2
150,CA-2016-114489,2016-12-05,2016-12-09,JE-16165,FUR-CH-10000454,1951.84,8,0.0,585.552,1366.288,2
151,CA-2016-114489,2016-12-05,2016-12-09,JE-16165,OFF-BI-10002735,171.55,5,0.0,80.6285,90.92150000000001,2
152,CA-2016-158834,2016-03-13,2016-03-16,TW-21025,OFF-AP-10000326,157.92,5,0.2,17.766,140.154,3
153,CA-2016-158834,2016-03-13,2016-03-16,TW-21025,TEC-PH-10001254,203.184,2,0.2,15.2388,187.9452,3
154,CA-2015-124919,2015-05-31,2015-06-02,SP-20650,OFF-PA-10001950,58.38,7,0.0,26.271,32.109,3
155,CA-2015-124919,2015-05-31,2015-06-02,SP-20650,OFF-PA-10002254,105.52,4,0.0,48.5392,56.980799999999995,3
156,CA-2015-124919,2015-05-31,2015-06-02,SP-20650,OFF-ST-10001590,80.88,6,0.0,21.0288,59.85119999999999,3
157,CA-2015-118948,2015-05-28,2015-06-03,NK-18490,OFF-AR-10001547,6.63,3,0.0,1.7901,4.8399,2
158,CA-2014-104269,2014-03-01,2014-03-06,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764,406.09159999999997,1
159,CA-2016-114104,2016-11-20,2016-11-24,NP-18670,OFF-LA-10002475,14.62,2,0.0,6.8714,7.748599999999999,2
160,CA-2016-114104,2016-11-20,2016-11-24,NP-18670,TEC-PH-10004536,944.93,7,0.0,236.2325,708.6975,2
161,CA-2016-162733,2016-05-11,2016-05-12,TT-21070,OFF-PA-10002751,5.98,1,0.0,2.691,3.2890000000000006,3
162,CA-2015-119697,2015-12-28,2015-12-31,EM-13960,TEC-AC-10003657,54.384,2,0.2,1.3596,53.0244,1
163,CA-2016-154508,2016-11-16,2016-11-20,RD-19900,OFF-EN-10001990,28.4,5,0.0,13.348,15.051999999999998,2
164,CA-2016-113817,2016-11-07,2016-11-11,MJ-17740,OFF-BI-10004002,27.68,2,0.2,9.688,17.991999999999997,2
165,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,OFF-AR-10004441,9.936,3,0.2,2.7324,7.2036,2
166,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,TEC-MA-10000822,8159.952,8,0.4,-1359.992,9519.944,2
167,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,OFF-ST-10000991,275.928,3,0.2,-58.6347,334.5627,2
168,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,FUR-CH-10004287,1740.06,9,0.3,-24.858,1764.918,2
169,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,OFF-AR-10002656,32.064,6,0.2,6.8136,25.2504,2
170,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,OFF-AP-10002518,177.98,5,0.8,-453.849,631.829,2
171,CA-2014-139892,2014-09-08,2014-09-12,BM-11140,TEC-PH-10003931,143.976,3,0.2,8.9985,134.9775,2
172,CA-2014-118962,2014-08-05,2014-08-09,CS-12130,OFF-PA-10000659,20.94,3,0.0,9.8418,11.098200000000002,2
173,CA-2014-118962,2014-08-05,2014-08-09,CS-12130,OFF-PA-10001144,110.96,2,0.0,53.2608,57.69919999999999,2
174,CA-2014-118962,2014-08-05,2014-08-09,CS-12130,FUR-CH-10003817,340.144,7,0.2,21.259,318.885,2
175,US-2014-100853,2014-09-14,2014-09-19,JB-15400,OFF-AP-10000891,52.448,2,0.8,-131.12,183.568,2
176,US-2014-100853,2014-09-14,2014-09-19,JB-15400,OFF-LA-10003148,20.16,4,0.2,6.552,13.608,2
177,US-2017-152366,2017-04-21,2017-04-25,SJ-20500,OFF-AP-10002684,97.264,4,0.8,-243.16,340.424,1
178,US-2015-101511,2015-11-21,2015-11-23,JE-15745,FUR-CH-10004698,396.802,7,0.3,-11.3372,408.1392,1
179,US-2015-101511,2015-11-21,2015-11-23,JE-15745,OFF-SU-10002189,15.88,5,0.2,-3.7715,19.651500000000002,1
180,CA-2015-137225,2015-12-15,2015-12-19,JK-15640,OFF-AR-10001940,3.28,1,0.0,1.4104,1.8695999999999997,2
181,CA-2014-166191,2014-12-05,2014-12-09,DK-13150,OFF-ST-10003455,24.816,2,0.2,1.8612,22.9548,1
182,CA-2014-166191,2014-12-05,2014-12-09,DK-13150,TEC-AC-10004659,408.744,7,0.2,76.6395,332.10450000000003,1
183,CA-2014-158274,2014-11-19,2014-11-24,RM-19675,TEC-PH-10003273,503.96,4,0.0,131.0296,372.93039999999996,1
184,CA-2014-158274,2014-11-19,2014-11-24,RM-19675,TEC-PH-10004896,149.95,5,0.0,41.986,107.964,1
185,CA-2014-158274,2014-11-19,2014-11-24,RM-19675,TEC-AC-10002345,29.0,2,0.0,7.25,21.75,1
186,CA-2016-105018,2016-11-28,2016-12-02,SK-19990,OFF-BI-10001890,7.16,2,0.0,3.4368,3.7232000000000003,2
187,CA-2014-123260,2014-08-26,2014-08-30,FM-14290,TEC-AC-10002323,176.8,8,0.0,22.984,153.816,2
188,CA-2016-157000,2016-07-16,2016-07-22,AM-10360,OFF-ST-10001328,37.224,3,0.2,3.7224,33.501599999999996,2
189,CA-2016-157000,2016-07-16,2016-07-22,AM-10360,OFF-PA-10001950,20.016,3,0.2,6.255,13.761,2
190,CA-2015-102281,2015-10-12,2015-10-14,MP-17470,FUR-BO-10002613,899.136,4,0.2,112.392,786.7439999999999,3
191,CA-2015-102281,2015-10-12,2015-10-14,MP-17470,TEC-PH-10001552,71.76,6,0.0,20.0928,51.66720000000001,3
192,CA-2015-102281,2015-10-12,2015-10-14,MP-17470,OFF-PA-10000061,51.84,8,0.0,24.8832,26.956800000000005,3
193,CA-2015-102281,2015-10-12,2015-10-14,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764,579.3756,3
194,CA-2015-102281,2015-10-12,2015-10-14,MP-17470,OFF-AR-10003514,19.9,5,0.0,6.567,13.332999999999998,3
195,CA-2015-131457,2015-10-31,2015-11-06,MZ-17515,OFF-EN-10001509,14.28,7,0.0,6.7116,7.5684,2
196,CA-2014-140004,2014-03-21,2014-03-25,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038,6.2042,2
197,CA-2014-140004,2014-03-21,2014-03-25,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876,4.4604,2
198,CA-2017-107720,2017-11-06,2017-11-13,VM-21685,OFF-ST-10001414,46.26,3,0.0,12.0276,34.2324,2
199,US-2017-124303,2017-07-06,2017-07-13,FH-14365,OFF-BI-10000343,2.946,2,0.7,-2.2586,5.2046,2
200,US-2017-124303,2017-07-06,2017-07-13,FH-14365,OFF-PA-10002749,16.056,3,0.2,5.8203,10.235700000000001,2
201,CA-2017-105074,2017-06-24,2017-06-29,MB-17305,OFF-PA-10002666,21.744,3,0.2,6.795,14.949,2
202,CA-2014-133690,2014-08-03,2014-08-05,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875,380.625,3
203,CA-2014-133690,2014-08-03,2014-08-05,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.2925,2.3075,3
204,US-2017-116701,2017-12-17,2017-12-21,LC-17140,OFF-AP-10003217,66.284,2,0.8,-178.9668,245.25080000000003,1
205,CA-2017-126382,2017-06-03,2017-06-07,HK-14890,FUR-FU-10002960,35.168,7,0.2,9.6712,25.4968,2
206,CA-2017-108329,2017-12-09,2017-12-14,LE-16810,TEC-PH-10001918,444.768,4,0.2,44.4768,400.2912,2
207,CA-2017-135860,2017-12-01,2017-12-07,JH-15985,OFF-ST-10000642,83.92,4,0.0,5.8744,78.04560000000001,2
208,CA-2017-135860,2017-12-01,2017-12-07,JH-15985,TEC-PH-10001700,131.98,2,0.0,35.6346,96.34539999999998,2
209,CA-2017-135860,2017-12-01,2017-12-07,JH-15985,OFF-BI-10003274,15.92,4,0.0,7.4824,8.4376,2
210,CA-2017-135860,2017-12-01,2017-12-07,JH-15985,OFF-FA-10000134,52.29,9,0.0,16.2099,36.0801,2
211,CA-2017-135860,2017-12-01,2017-12-07,JH-15985,OFF-ST-10001522,91.99,1,0.0,3.6796,88.3104,2
212,CA-2015-101007,2015-02-09,2015-02-13,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5,14.3,1
213,CA-2015-146262,2015-01-02,2015-01-09,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88,14.799999999999999,2
214,CA-2015-146262,2015-01-02,2015-01-09,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.323,696.773,2
